Satellite Name,Latitude,Longitude,Altitude,geometry,TLE Line 1,TLE Line 2,Coverage Area (km^2),Coverage Radius (km)
NEW-SAT-0,73.46254246524603,89.03137257691765,812.0847464517256,POINT (89.03137257691765 73.46254246524603),,,28832708.50657207,3029.477869715732
NEW-SAT-1,79.8347253421289,-119.9910295796769,1213.5242892091296,POINT (-119.9910295796769 79.8347253421289),,,40805171.30163343,3603.982440680451
NEW-SAT-2,31.97310587791668,-138.78130026525204,1883.2123100022452,POINT (-138.78130026525204 31.97310587791668),,,58186030.13344628,4303.625056770617
NEW-SAT-3,-2.1055129222024505,-1.704180821280886,794.8958151539738,POINT (-1.704180821280886 -2.1055129222024505),,,28290120.637980577,3000.83739652806
NEW-SAT-4,79.63691807074261,-50.66365428752465,1224.640763581294,POINT (-50.66365428752465 79.63691807074261),,,41118699.777790464,3617.8016316948533
NEW-SAT-5,-34.125051766035455,-160.15600561648685,1102.5679649505514,POINT (-160.15600561648685 -34.125051766035455),,,37624649.258867994,3460.67880961168
NEW-SAT-6,-46.73212378160578,62.7611513818446,1301.2198751473397,POINT (62.7611513818446 -46.73212378160578),,,43253845.64417234,3710.542640101007
NEW-SAT-7,-89.22363649042809,91.29929965307088,1032.2638981879277,POINT (91.29929965307088 -89.22363649042809),,,35560068.32538009,3364.390182683863
NEW-SAT-8,-73.26399457249532,-108.2233809411587,1780.7142615313367,POINT (-108.2233809411587 -73.26399457249532),,,55710924.73864421,4211.097020106705
NEW-SAT-9,71.13779612228265,-6.363142303035943,1090.6078165488152,POINT (-6.363142303035943 71.13779612228265),,,37276168.46699619,3444.6150644298946
NEW-SAT-10,-89.03694942834632,120.44782690646747,1276.8594425070155,POINT (120.44782690646747 -89.03694942834632),,,42579276.07988789,3681.4948761036344
NEW-SAT-11,46.84261852096128,-32.3159856610375,1532.3099857049763,POINT (-32.3159856610375 46.84261852096128),,,49446174.13933988,3967.266825223276
NEW-SAT-12,24.630657381796127,38.28461981545365,1702.8478641530046,POINT (38.28461981545365 24.630657381796127),,,53788615.48953837,4137.807157717556
NEW-SAT-13,52.25660748514477,-127.72451724644546,1067.6730825831273,POINT (-127.72451724644546 52.25660748514477),,,36604788.31333108,3413.4536765273624
NEW-SAT-14,26.668841967047996,124.99486693513956,576.4492737965344,POINT (124.99486693513956 26.668841967047996),,,21160737.04422568,2595.317283129868
NEW-SAT-15,-4.088483291141813,35.97376366152699,922.7744001967263,POINT (35.97376366152699 -4.088483291141813),,,32265491.863548726,3204.7503869646725
NEW-SAT-16,-77.35346136072911,171.20600979141994,552.2064535745235,POINT (171.20600979141994 -77.35346136072911),,,20341795.02058918,2544.6010409841742
NEW-SAT-17,39.89476114297611,-105.04892081937325,1398.4670967356665,POINT (-105.04892081937325 39.89476114297611),,,45904588.5836487,3822.54945911429
NEW-SAT-18,66.93058990650627,155.75386393952652,1256.954293622418,POINT (155.75386393952652 66.93058990650627),,,42024880.021062374,3657.449217199307
NEW-SAT-19,49.38250055150621,16.931637864111536,1818.259249530394,POINT (16.931637864111536 49.38250055150621),,,56624745.636181384,4245.493650759473
NEW-SAT-20,-1.8485937609189733,138.0328502296333,1896.1467669376675,POINT (138.0328502296333 -1.8485937609189733),,,58494008.06632648,4314.999542297324
NEW-SAT-21,-71.02308797553458,-175.43972476236038,1399.7250765059707,POINT (-175.43972476236038 -71.02308797553458),,,45938443.64185939,3823.9587820870593
NEW-SAT-22,-33.91845834574476,90.94116793352009,923.3105159671787,POINT (90.94116793352009 -33.91845834574476),,,32281864.72900026,3205.563396298473
NEW-SAT-23,-73.09220753726977,114.59922870339796,1119.3461938369737,POINT (114.59922870339796 -73.09220753726977),,,38111637.998351365,3483.0031802358512
NEW-SAT-24,-42.90954741689285,-10.760285085735234,639.5073097501072,POINT (-10.760285085735234 -42.90954741689285),,,23264361.89407277,2721.2637480848525
NEW-SAT-25,36.02520848520895,72.36685141936894,1765.9488598014677,POINT (72.36685141936894 36.02520848520895),,,55349233.976647206,4197.404956335113
NEW-SAT-26,-77.06185528061724,12.124263597228548,616.1869608382832,POINT (12.124263597228548 -77.06185528061724),,,22490816.299838144,2675.639956455656
NEW-SAT-27,56.93932744907633,173.88624172386318,1152.2302903087389,POINT (173.88624172386318 56.93932744907633),,,39059799.57185851,3526.063010792626
